playtime_forever,App ID,Name,Short Description,Genre,Categories,Owners,Positive Reviews,Negative Reviews,Price,Initial Price,Discount,CCU,Is Multiplayer,Review Ratio
4179.0,230410,Warframe,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,"Action, Free to Play, RPG","Multi-player, Single-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Online Co-op, Remote Play on Phone, Remote Play on Tablet",35000000.0,448616,68559,0,0,0,43118,Y,6.543502676526787
285.3833333333333,444090,Paladins,"Join 50+ million players in Paladins, the free-to-play fantasy team-based shooter sensation. Wield guns and magic as a legendary Champion of the Realm, customizing your core set of abilities to play exactly how you want to play.","Action, Adventure, Free to Play, Massively Multiplayer, Strategy","Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Online PvP, Remote Play on Phone, Remote Play on Tablet, PvP",15000000.0,283612,48293,0,0,0,6620,Y,5.872735179011451
123.26666666666667,218620,PAYDAY 2,"PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.","Action, RPG","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Full controller support, Steam Trading Cards, In-App Purchases, Online Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",35000000.0,532013,63096,999,999,0,40874,Y,8.43180233295296
113.91666666666667,413150,Stardew Valley,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?","Indie, RPG, Simulation","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Steam Trading Cards, Online Co-op, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, LAN Co-op",15000000.0,497558,9283,1499,1499,0,32996,Y,53.59883658300119
112.93333333333334,892970,Valheim,"A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin’s patronage!","Action, Adventure, Indie, RPG, Early Access","Multi-player, Single-player, Co-op, Steam Cloud, Full controller support, Online Co-op, Remote Play on Tablet",35000000.0,346013,17749,1999,1999,0,21890,Y,19.494788438785285
100.05,292030,The Witcher 3: Wild Hunt,"As war rages on throughout the Northern Realms, you take on the greatest contract of your life — tracking down the Child of Prophecy, a living weapon that can alter the shape of the world.",RPG,"Single-player, Steam Achievements, Steam Cloud, Full controller support, Steam Trading Cards, Remote Play on Tablet, Remote Play on TV",15000000.0,632627,25245,3999,3999,0,22812,N,25.059496930085164
85.33333333333333,739630,Phasmophobia,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost hunting equipment at your disposal in order to gather as much evidence as you can.,"Action, Indie, Early Access","Multi-player, Single-player, Co-op, Steam Cloud, Full controller support, Online Co-op, Remote Play on Phone, Remote Play on Tablet",15000000.0,475555,15543,1399,1399,0,21251,Y,30.596088271247503
72.86666666666666,287700,METAL GEAR SOLID V: THE PHANTOM PAIN,"Ushering in a new era for the METAL GEAR franchise with cutting-edge technology powered by the Fox Engine, METAL GEAR SOLID V: The Phantom Pain, will provide players a first-rate gaming experience as they are offered tactical freedom to carry out open-world missions.","Action, Adventure","Multi-player, Single-player, Captions available, Steam Achievements, Steam Cloud, Steam Leaderboards, Full controller support, Steam Trading Cards, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",3500000.0,72011,7207,1999,1999,0,2149,Y,9.991813514638546
71.26666666666667,1172620,Sea of Thieves,"Sea of Thieves offers the essential pirate experience, from sailing and fighting to exploring and looting – everything you need to live the pirate life and become a legend in your own right. With no set roles, you have complete freedom to approach the world, and other players, however you choose.","Action, Adventure","Multi-player, Co-op, Partial Controller Support, Steam Achievements, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases, Online PvP, Online Co-op, Remote Play on Phone, Remote Play on Tablet, PvP",7500000.0,223678,24137,3999,3999,0,11789,Y,9.267017442101338
67.96666666666667,242760,The Forest,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.","Action, Adventure, Indie, Simulation","Multi-player, Single-player, Co-op, Partial Controller Support, Steam Cloud, Online Co-op, LAN Co-op",15000000.0,394258,19678,1999,1999,0,24329,Y,20.035471084459804
