playtime_forever,App ID,Name,Short Description,Genre,Categories,Owners,Positive Reviews,Negative Reviews,Price,Initial Price,Discount,CCU,Is Multiplayer,Review Ratio
2280.5333333333333,230410,Warframe,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,"Action, Free to Play, RPG","Multi-player, Single-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Online Co-op, Remote Play on Phone, Remote Play on Tablet",35000000.0,448616,68559,0,0,0,43118,Y,6.543502676526787
105.6,976730,Halo: The Master Chief Collection,"The Master Chief’s iconic journey includes six games, built for PC and collected in a single integrated experience. Whether you’re a long-time fan or meeting Spartan 117 for the first time, The Master Chief Collection is the definitive Halo gaming experience.",Action,"Multi-player, Single-player, Co-op, Steam Achievements, Cross-Platform Multiplayer, Full controller support, Steam Trading Cards, Online PvP, Online Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, LAN PvP, LAN Co-op, PvP",7500000.0,181246,14148,3999,3999,0,4459,Y,12.81071529544812
102.28333333333333,899770,Last Epoch,"Last Epoch combines time travel, exciting dungeon crawling, engrossing character customization and endless replayability to create an Action RPG for veterans and newcomers alike.","Action, Adventure, Indie, RPG, Early Access","Single-player, Partial Controller Support, Steam Cloud",350000.0,11883,1877,3499,3499,0,836,N,6.330847096430474
28.383333333333333,782330,DOOM Eternal,Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.,Action,"Multi-player, Single-player, Partial Controller Support, Steam Achievements, Steam Cloud, Steam Trading Cards, Online PvP, Remote Play on Phone, Remote Play on Tablet, PvP",3500000.0,144233,13946,3999,3999,0,1623,Y,10.342248673454757
26.266666666666666,550,Left 4 Dead 2,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",Action,"Multi-player, Single-player, Valve Anti-Cheat enabled, Co-op, Captions available, Commentary available, Stats, Includes Source SDK, Steam Achievements, Steam Cloud, Full controller support, Steam Trading Cards, Steam Workshop, Online PvP, Online Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP",35000000.0,643836,16828,999,999,0,19084,Y,38.25980508676016
24.55,242760,The Forest,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.","Action, Adventure, Indie, Simulation","Multi-player, Single-player, Co-op, Partial Controller Support, Steam Cloud, Online Co-op, LAN Co-op",15000000.0,394258,19678,1999,1999,0,24329,Y,20.035471084459804
22.666666666666668,292030,The Witcher 3: Wild Hunt,"As war rages on throughout the Northern Realms, you take on the greatest contract of your life — tracking down the Child of Prophecy, a living weapon that can alter the shape of the world.",RPG,"Single-player, Steam Achievements, Steam Cloud, Full controller support, Steam Trading Cards, Remote Play on Tablet, Remote Play on TV",15000000.0,632627,25245,3999,3999,0,22812,N,25.059496930085164
21.916666666666668,201810,Wolfenstein: The New Order,"Wolfenstein®: The New Order reignites the series that created the first-person shooter genre. Wolfenstein offers a deep game narrative packed with action, adventure and first-person combat.",Action,"Single-player, Partial Controller Support, Steam Achievements, Steam Leaderboards",3500000.0,43418,4338,1999,1999,0,462,N,10.00875979714154
21.083333333333332,459220,Halo Wars: Definitive Edition,"Halo Wars: Definitive Edition is an enhanced version of the real-time strategy classic, Halo Wars, updated to run natively on PC. Halo Wars: Definitive Edition includes improved graphics, new achievements and all of the DLC created for the landmark real-time strategy game.",Strategy,"Multi-player, Single-player, Co-op, Captions available, Steam Achievements, Steam Cloud, Steam Leaderboards, Full controller support, Steam Trading Cards, Online PvP, Online Co-op, Remote Play on TV, PvP",350000.0,5913,646,1999,1999,0,151,Y,9.153250773993808
20.333333333333332,1284210,Guild Wars 2,"Guild Wars 2 is an award-winning online roleplaying game with fast-paced action combat, deep character customization, and no subscription fee required. Choose from an arsenal of professions and weapons, explore a vast open world, compete in PVP modes and more. Join over 16 million players now!","Adventure, Free to Play, Massively Multiplayer, RPG","Multi-player, Co-op, MMO, In-App Purchases, Online PvP, Online Co-op, PvP",750000.0,4080,575,0,0,0,4799,Y,7.095652173913043
