,App ID,Name,Genre,Categories,Owners,Positive Reviews,Negative Reviews,Price,Initial Price,Discount,CCU
0,10,Counter-Strike,Action,"Multi-player, Valve Anti-Cheat enabled, Online PvP, Shared/Split Screen PvP, PvP",15000000.0,201215,5199,999,999,0,13990
3,1000030,"Cook, Serve, Delicious! 3?!","Action, Indie, Simulation, Strategy","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Steam Trading Cards, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together",150000.0,1575,115,1999,1999,0,76
5,1000080,Zengeon,"Action, Adventure, Indie, RPG","Multi-player, Single-player, Steam Achievements, Full controller support, Steam Trading Cards",150000.0,1018,462,799,1999,60,3
7,1000110,Jumping Master(跳跳大咖),"Action, Adventure, Casual, Free to Play, Massively Multiplayer","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",35000.0,50,34,0,0,0,0
10,1000310,人气动漫大乱斗,"Action, RPG, Strategy","Multi-player, Single-player, In-App Purchases, Online PvP, PvP",10000.0,1,5,99,99,0,0
11,1000360,Hellish Quart,"Action, Early Access","Multi-player, Single-player, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, PvP",350000.0,4031,315,1699,1699,0,59
17,1000500,The Undisputables : Online Multiplayer Shooter,"Action, Casual, Indie, Massively Multiplayer","Multi-player, Single-player, Co-op, Steam Achievements, Steam Leaderboards, Cross-Platform Multiplayer, Full controller support, Online PvP, Online Co-op, PvP",150000.0,9,3,699,699,0,0
19,1000540,Tactical Control,"Casual, Free to Play, Indie, Strategy","Multi-player, Stats, Steam Achievements, Online PvP, PvP",35000.0,53,12,0,0,0,0
27,1000810,RogueCraft Squadron,"Indie, Strategy","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",10000.0,5,1,1499,1499,0,0
29,1000860,Allspace,"Action, Massively Multiplayer, Simulation","Multi-player, Full controller support, Online PvP, PvP",10000.0,40,19,499,499,0,0
36,1001040,Glorious Companions,"RPG, Strategy, Early Access","Multi-player, Single-player, Online PvP, Shared/Split Screen PvP, PvP",10000.0,66,39,1999,1999,0,0
58,1001740,Diamonds,"Action, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,4,0,499,499,0,0
63,1001870,RoboVirus,"Action, Casual, Indie","Multi-player, Single-player, Shared/Split Screen, Full controller support, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,29,1,999,999,0,0
69,1001980,Archeo: Shinar,"Indie, Simulation, Strategy","Multi-player, Single-player, Steam Achievements, Steam Cloud, Steam Trading Cards, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,80,21,1299,1299,0,0
71,1002,Rag Doll Kung Fu,Indie,"Multi-player, Single-player",35000.0,58,25,99,99,0,0
72,1002000,SPITLINGS,"Action, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Online Co-op, Shared/Split Screen Co-op, Remote Play Together",10000.0,29,4,1499,1499,0,0
76,1002180,AUSSIE BATTLER TANKS,"Action, Casual, Indie, Massively Multiplayer, Simulation","Multi-player, Online PvP, PvP",10000.0,6,3,99,99,0,0
